Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),H2OX(23),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2413320828663747e-65,2.8897376102305572e-36,9.0095950577329215e-90,1.7681588211206088e-54,2.9812110491269466e-133,5.4889800419459721e-20,-6.1793346329270686e-106,5.4889800419459697e-20,2.5176329544987792e-72,2.4376598643874342e-71,1.9938790550698755e-113,2.3118975241631196e-114,3.1384634757369909e-53,1.1657757820182552e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421303966e-22,8.7653029280693462e-38,3.2456429548823211e-37,3.5532015421276285e-22,1.2750035073152377e-34,9.9825637668511712e-44,3.9903616822658884e-49,4.9010030963982884e-80,2.0592366854309737e-52,1.9089660657089355e-98,3.5114076202530571e-107,3.1838388966210188e-54,-8.9588435517502175e-111
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.776846293305292e-64,1.7454015165794889e-35,9.9569753565178357e-88,2.6720416080628507e-53,1.0758277495743945e-130,1.5369144117448724e-19,1.1929290043992166e-104,1.5369144117448708e-19,7.1001277467704189e-71,7.6643926312832683e-70,3.9863110945694622e-111,4.6221172375700269e-112,3.72598383818396e-52,6.0343911859926195e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643179694184e-22,5.2942429682265068e-37,1.960368344746951e-36,9.9489643179527057e-22,7.7010211783591768e-34,1.1851299690319053e-42,4.7379051546960767e-48,2.9818584279950935e-78,2.4447257929439425e-51,1.7977341240368391e-96,7.0202669106475336e-105,3.7798535378413956e-53,9.0676237543939461e-109
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.4866122347405567e-63,8.4033569705539429e-35,9.0105212205990899e-86,2.8744604295547437e-52,3.8962619010334952e-128,3.5129472268454251e-19,1.2596070858126631e-102,3.5129472268454174e-19,1.544432870979441e-69,1.7098838340037727e-68,7.2185655852444931e-109,8.3699078246846527e-110,3.658193026664948e-51,2.6348513534636524e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869664699e-21,2.5489500909914959e-36,9.4383297127682293e-36,2.2740489869584235e-21,3.7077101905354198e-33,1.1635676284213077e-41,4.6528636499260394e-47,1.3464842651990215e-76,2.400246280539243e-50,1.5712289045610799e-94,1.2712569570728614e-102,3.7110826171975136e-52,1.8993621571819575e-106
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7631593864894912e-62,3.6699667649964064e-34,6.8226386966987588e-84,2.6421243606687053e-51,1.1819877798731688e-125,7.4650128570465394e-19,9.9561442351320828e-101,7.4650128570465067e-19,2.8631182557762251e-68,3.202423183753541e-67,1.0943408772521779e-106,1.268885371090242e-107,3.2356303035722213e-50,9.8088909528336746e-81,4.076847284138252e-17,1.2070820217819832e-18,4.8323540973124197e-21,1.1131934713573669e-35,4.1219665526700007e-35,4.832354097277282e-21,1.6192544452618175e-32,1.0291623851972726e-40,4.1174692333930621e-46,5.0865782600948823e-75,2.1229906532138067e-49,1.1721855137607299e-92,1.9272367026097395e-100,3.2824105473821168e-51,3.0538829353415122e-104
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6467016524185994e-60,1.5321388809474798e-33,4.7444963840315224e-82,2.2603930168268465e-50,3.2907681814307166e-123,1.5369144117448804e-18,7.0565624432683265e-99,1.5369144117448661e-18,4.920968751796102e-67,5.5313896606938183e-66,1.5229237747309953e-104,1.7658261143350111e-105,2.7197422301659827e-49,3.3793116572262488e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643180318994e-21,4.6473636078954018e-35,1.7208398946511146e-34,9.9489643178852037e-21,6.7600685145285792e-32,8.6507298776798116e-40,3.4644532463935606e-45,1.766512811276015e-73,1.7845015638109432e-48,8.0856697623009427e-91,2.6820112954875047e-98,2.7590638437073863e-50,4.3704719353242836e-102
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.704714121716339e-59,6.2592872532912145e-33,3.168376728561516e-80,1.8689366580267278e-49,8.7942806033307329e-121,3.1177406638253483e-18,4.7487430297201632e-97,3.1177406638252894e-18,8.1561448193204421e-66,9.1904866407395959e-65,2.0346315168577171e-102,2.3591498964749867e-103,2.2298089980010453e-48,1.1214703307321648e-77,1.702683277493016e-16,5.0413425615600445e-18,2.0182184759581163e-20,1.8985996715648331e-34,7.0301924657605387e-34,2.0182184758981874e-20,2.7617085281876626e-31,7.0923908665294372e-39,2.8460622870095001e-44,5.8948327929729152e-72,1.4630421970585198e-47,5.3697335585755277e-89,3.5831765192600613e-96,2.2620472323269213e-49,5.9193833565305956e-100
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.3844595172673151e-58,2.5301039851846973e-32,2.0771560344669906e-78,1.5197882517917262e-48,2.3066671788116824e-118,6.2793931679863407e-18,3.1158239958170717e-95,6.2793931679861027e-18,1.3280167495681807e-64,1.4982812752707872e-63,2.6681461126522562e-100,3.0937084052906164e-101,1.8057571347309268e-47,3.6541477957358034e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.0648625643120928e-20,7.6744434162585302e-34,2.8417161976698373e-33,4.0648625640698505e-20,1.116326714231404e-30,5.7436017759210293e-38,2.3140378755234741e-43,1.9317495393518521e-70,1.1848095031133684e-46,3.5003043823708109e-87,4.6988550119022325e-94,1.8318644924498912e-48,7.8153232097830368e-98
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0610379667956223e-57,1.0173436846504022e-31,1.35326711570466e-76,1.2257642831787568e-47,6.0116164480549941e-116,1.2602698176308558e-17,2.0190075792083632e-93,1.2602698176307601e-17,2.1434243879547353e-63,2.4197282517400632e-62,3.476764493435287e-98,4.0312992925336076e-99,1.4534304336327732e-46,1.1799021801834359e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507411965433e-20,3.0858599312397321e-33,1.1426415846828389e-32,8.1581507402224994e-20,4.4887003886241699e-30,4.6229500203558805e-37,1.877385776408678e-42,6.29206202536803e-69,9.5363776421070257e-46,2.2607801037763645e-85,6.1229076571846964e-92,1.4744439059778587e-47,1.0218739776130016e-95
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1334530517079873e-55,4.0800031936062216e-31,8.838970505990267e-75,9.8460053216773586e-47,1.5705690639401636e-113,2.5249308192953913e-17,1.3001843619691858e-91,2.5249308192950073e-17,3.4444254496354026e-62,3.8896424618537037e-61,4.5416653317686312e-96,5.2660490155769666e-97,1.1662863799606668e-45,3.7926901261794967e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727095671422e-19,1.2375678404511198e-32,4.5825038128896449e-32,1.6344727091765068e-19,1.800169432211813e-29,3.7096256527571438e-36,1.5303110850766777e-41,2.0549361827478992e-67,7.6523424778311874e-45,1.4535200953000969e-83,7.9982976941733454e-90,1.1831483674357264e-46,1.3372597990677428e-93
