Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.62827791675361e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,6.9195634199667783e-140,5.0208535552897461e-66,1.3433686593488963e-46,1.2433017377686636e-74,6.3580697642972924e-58,3.6156478595264319e-49,3.947793526299385e-29,-2.3148298366485792e-114,3.9477935091210504e-29,2.2291933717583353e-74,2.0299231199133995e-73,2.9360675071429849e-75,2.3986961247596311e-106,3.6156478597335333e-49,4.0882460232857582e-92,2.3999879455147755e-18,7.0004132747812154e-19,1.5864920454702829e-23,1.6487484542421134e-37,1.5864920454702841e-23
2.1359178166910107e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,5.339445156188518e-138,5.9607576482133501e-65,8.113946702532896e-46,1.4760478287582399e-73,9.6083150277711066e-57,2.1838513163294818e-48,1.1053821929296117e-28,-2.1985947373071151e-114,1.1053821825538968e-28,3.3687591916500019e-73,6.3824016434574707e-72,3.4856993578918245e-74,5.3657873029659785e-105,2.1838513165753519e-48,1.1529515062684206e-90,6.7199662474413693e-18,1.9601157169387409e-18,4.442177727316791e-23,9.9584385089202859e-37,4.4421777273167951e-23
4.88209786672231e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,5.8191886035653784e-136,5.8523078252902176e-64,3.9065160614830589e-45,1.449192523148929e-72,1.0336186854382774e-55,1.0514304113135614e-47,2.5265878957920926e-28,3.5175381228464465e-114,2.5265878458374916e-28,3.6239571102918918e-72,1.423878064530401e-70,3.4222803279020483e-73,1.0601891583454424e-103,1.0514304115549579e-47,2.5079212169276397e-89,1.535992285129454e-17,4.4802644958599782e-18,1.0153549091009799e-22,4.7945572728843349e-36,1.0153549091009818e-22
1.0374457966784909e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,4.7604577291508747e-134,5.1763010903822663e-63,1.7060781974719082e-44,1.2817943965421082e-71,9.5007364873571089e-55,4.591872923819076e-47,5.3689993905695933e-28,2.2681724999120311e-112,5.3689991724047268e-28,3.3310408629708437e-71,2.6667636539208133e-69,3.0269682444741202e-72,1.8865499920779853e-102,4.5918729259541974e-47,4.6492631598972999e-88,3.263983605900081e-17,9.5205620537024535e-18,2.1576291818395775e-22,2.0939071971035671e-35,2.1576291818395864e-22
2.135917816691011e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.09999999999999995,0.10000000000000001,3.4261361989089311e-132,4.3509948006028086e-62,7.1225406327533897e-44,1.077425460200521e-70,8.1280800898086976e-54,1.9170166231193708e-46,1.1053822736334755e-27,8.0930722096490819e-111,1.1053821825539376e-27,2.8497757327744118e-70,4.6061628168880851e-68,2.5443492830152614e-71,3.1819424084854481e-101,1.9170166249140659e-46,7.9908958502134084e-87,6.7199662474413074e-17,1.9601157169387401e-17,4.4421777273167557e-22,8.7416342463881608e-35,4.4421777273167933e-22
4.33286185671605e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999881,0.099999999999999992,2.322346944150242e-130,3.567211428032086e-61,2.9097902516442929e-43,8.8333854661486805e-70,6.7204537999112015e-53,7.831638973368899e-46,2.2423470852705699e-27,2.7196855145129366e-109,2.2423467131809395e-27,2.356250029656434e-69,7.6531810991882175e-67,2.0860114047434828e-70,5.2263502987692295e-100,7.8316389880828437e-46,1.3244325702562319e-85,1.3631931530523648e-16,3.9762347400757293e-17,9.011274818271052e-22,3.5712296528045308e-34,9.0112748182712025e-22
8.72674993676613e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999742,0.099999999999999978,1.5291378628179494e-128,2.8888251828461766e-60,1.1761837435704397e-42,7.1535055277042661e-69,5.4649614196153966e-52,3.1656741435599643e-45,4.5162772784810101e-27,8.9155834816711505e-108,4.5162757744352277e-27,1.9160639938587735e-68,1.2476527702164321e-65,1.6893063448744422e-69,8.4721401490527965e-99,3.1656741554756147e-45,2.1564957573766153e-84,2.7455862096687883e-16,8.0084727863497009e-17,1.8149469000179389e-21,1.4435374778858956e-33,1.8149469000179994e-21
1.7514526096866287e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999938,0.099999999999999464,0.099999999999999936,9.9257691258330949e-127,2.3251856883463986e-59,4.7293831049685981e-42,5.7577651289396836e-68,4.4076893667430231e-51,1.2729040146005404e-44,9.0641399446468914e-27,2.8874639502000969e-106,9.0641338969449543e-27,1.5453760112636484e-67,2.0149337928880361e-64,1.3597010761989489e-68,1.3644124058758597e-97,1.2729040241911606e-44,3.480594994686106e-83,5.5103723229014533e-16,1.6072948878897618e-16,3.6425857363995051e-21,5.8043150896342856e-33,3.6425857363997481e-21
3.509007841706661e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999866,0.099999999999998909,0.099999999999999853,6.3974248627356914e-125,1.8658276921399432e-58,1.8966941539367525e-41,4.6202463750222397e-67,3.5404957997980249e-50,5.1049173433346437e-44,1.8159874395958669e-26,9.2954392856684284e-105,1.8159850141968992e-26,1.2413316437839858e-66,3.2388547537963075e-63,1.0910750660610776e-67,2.1901852165611273e-96,5.1049174202912137e-44,5.5932296512354175e-82,1.1039944549366067e-15,3.2201901063993357e-16,7.2978634091622327e-21,2.3277212831795175e-32,7.2978634091632077e-21
