Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.62827791675361e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,6.9195690591766454e-140,5.0208584399893412e-66,1.3433692107331765e-46,1.2433022436970047e-74,6.3580700878085212e-58,3.6156493308174862e-49,3.9477951327482214e-29,-2.3148317331015134e-114,3.9477951294888225e-29,2.2291951862932976e-74,7.9082226368999748e-73,2.9360687522906944e-75,2.3986987065797167e-106,3.6156493350697815e-49,4.0882479670881084e-92,2.3999879455147755e-18,7.0004132747812154e-19,1.5864920454702976e-23,1.6487488057101269e-37,1.5864920454702841e-23
2.1359178166910107e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,5.339449489848386e-138,5.9607689845425765e-65,8.1139500328939476e-46,1.476048424794668e-73,9.6083155167273933e-57,2.1838521975547185e-48,1.1053826382255506e-28,-2.1985965525328885e-114,1.1053826362568731e-28,3.3687601775188249e-73,2.4864716657558046e-71,3.4857008252642348e-74,5.3657930624137772e-105,2.1838522026030439e-48,1.1529514746903881e-90,6.7199662474413693e-18,1.9601157169387409e-18,4.442177727316875e-23,9.958442681547676e-37,4.4421777273167951e-23
4.88209786672231e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,5.8191932698335403e-136,5.8523300667868073e-64,3.9065176649085457e-45,1.4491930985937381e-72,1.03361873803846e-55,1.0514308280131604e-47,2.5265888923512014e-28,3.5175406545187697e-114,2.5265888828728657e-28,3.6239584178009451e-72,5.5471813831638833e-70,3.4222817455586728e-73,1.0601902894050516e-103,1.0514308329696359e-47,2.5079212670550533e-89,1.535992285129454e-17,4.4802644958599782e-18,1.0153549091010202e-22,4.7945613695928137e-36,1.0153549091009818e-22
1.0374457966784909e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,4.7604614525420176e-134,5.1763403770242162e-63,1.7060788977299437e-44,1.2817948881769328e-71,9.5007369708445355e-55,4.5918746771230396e-47,5.3690014174992765e-28,2.2681742370221631e-112,5.3690013761048965e-28,3.3310421279017247e-71,1.0389256360929905e-68,3.026969457427758e-72,1.8865519800331556e-102,4.591874720962502e-47,4.6492633461933288e-88,3.263983605900081e-17,9.5205620537024535e-18,2.1576291818397538e-22,2.0939108205925553e-35,2.1576291818395864e-22
2.135917816691011e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.09999999999999995,0.10000000000000001,3.4261387433191387e-132,4.351060778496595e-62,7.1225435561928406e-44,1.0774258442792647e-70,8.128080503443688e-54,1.9170172994857809e-46,1.1053826535382529e-27,8.0930779044931877e-111,1.1053826362569136e-27,2.8497767033239909e-70,1.7944855178611361e-67,2.5443502336907984e-71,3.1819456780889147e-101,1.9170173363354873e-46,7.9908958842348728e-87,6.7199662474413074e-17,1.9601157169387401e-17,4.4421777273174939e-22,8.741664703941462e-35,4.4421777273167933e-22
4.33286185671605e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999881,0.099999999999999992,2.3223484853233606e-130,3.5673195512601557e-61,2.909791445964698e-43,8.8333881366965815e-70,6.7204541419147249e-53,7.8316412821483341e-46,2.2423477041497432e-27,2.719686985617174e-109,2.2423476335498334e-27,2.3562505613700586e-69,2.9815640085033399e-66,2.0860120711992107e-70,5.2263553952019218e-100,7.8316415842644404e-46,1.3244324301340932e-85,1.3631931530523648e-16,3.9762347400757293e-17,9.0112748182740669e-22,3.571254623656761e-34,9.0112748182712025e-22
8.72674993676613e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999742,0.099999999999999978,1.5291386359241309e-128,2.8890002521895575e-60,1.1761842263338433e-42,7.1535069155851637e-69,5.4649616977304178e-52,3.1656747094412615e-45,4.5162779135120813e-27,8.9155852423878386e-108,4.5162776281359596e-27,1.9160639526670672e-68,4.8607001520436676e-65,1.6893067016183638e-69,8.4721475225679734e-99,3.1656749541026337e-45,2.1564950146583267e-84,2.7455862096687883e-16,8.0084727863497009e-17,1.8149469000191576e-21,1.4435576997834608e-33,1.8149469000179994e-21
1.7514526096866287e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999938,0.099999999999999464,0.099999999999999936,9.9257710066911399e-127,2.3254674671753175e-59,4.7293850461390086e-42,5.7577649987704512e-68,4.4076895910584081e-51,1.2729039467051205e-44,9.0641387647941958e-27,2.8874625122052982e-106,9.0641376173093571e-27,1.5453752011650557e-67,7.8500382713146524e-64,1.3597010687968181e-68,1.3644133073305425e-97,1.2729041436297467e-44,3.4805921036376867e-83,5.5103723229014533e-16,1.6072948878897618e-16,3.6425857364044049e-21,5.8044778507085636e-33,3.6425857363997481e-21
3.509007841706661e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999866,0.099999999999998909,0.099999999999999853,6.3974220306653481e-125,1.8662798766289589e-58,1.8966949324329072e-41,4.6202442688774109e-67,3.5404959799892481e-50,5.1049147013950783e-44,1.8159862197588162e-26,9.2954216869399887e-105,1.815985759566074e-26,1.2413297398928851e-66,1.2618689705381646e-62,1.0910745874200355e-67,2.1901857453208723e-96,5.1049162815890664e-44,5.5932195417366743e-82,1.1039944549366067e-15,3.2201901063993357e-16,7.2978634091818862e-21,2.327851884920013e-32,7.2978634091632062e-21
