Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.462528504473363e-24,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4307714372663028e-18,3.0224198744653948e-19
2.649507981252542e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8061600243451145e-18,8.4627756485031039e-19
6.056018242862952e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5556937198500595e-17,1.9343487196578522e-18
1.2869038766083772e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3058491546802989e-17,4.1104910292729353e-18
2.649507981252541e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999936,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8061600243373485e-17,8.4627756485031006e-18
5.374716190540869e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999984,0.099999999999999867,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3806781763637738e-16,1.7167344886963419e-17
1.0825132609117525e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999968,0.099999999999999728,0.099999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7808025242183678e-16,3.4576483363884028e-17
2.1725965446270837e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999937,0.09999999999999945,0.099999999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5810512199056201e-16,6.9394760317725154e-17
4.352763112057747e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999873,0.099999999999998895,0.099999999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.118154861119238e-15,1.3903131422540685e-16
8.713096246919073e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999748,0.099999999999997771,0.099999999999999867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2382543393414929e-15,2.7830442204076842e-16
1.7433762516641726e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999496,0.099999999999995537,0.099999999999999728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4784532956456142e-15,5.5685063767148391e-16
3.487509505608703e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998993,0.099999999999991054,0.09999999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9588512076923016e-15,1.1139430689328843e-15
6.975776013497763e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997986,0.099999999999982089,0.099999999999998895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791964702953945e-14,2.2281279314555621e-15
1.3952309029275882e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039995971,0.099999999999964173,0.099999999999997785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5841238664248852e-14,4.4564976565004286e-15
2.790537506083212e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039991941,0.099999999999928327,0.099999999999995551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1684421897728074e-14,8.9132371065881996e-15
5.58115071239446e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039983881,0.099999999999856634,0.099999999999991096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4337078822092817e-13,1.7826716006755893e-14
1.1162377125016956e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503996776,0.099999999999713263,0.099999999999982186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8674352029229502e-13,3.5653673807059888e-14
2.232482995026195e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039935519,0.09999999999942652,0.099999999999964354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7348898213489537e-13,7.1307589407542343e-14
4.464973560075194e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503987104,0.099999999998853034,0.099999999999928701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1469798966195628e-12,1.4261542060800513e-13
8.92995469017319e-18,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503974208,0.099999999997706049,0.099999999999857397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2939616887867657e-12,2.8523108300692208e-13
1.7859916950369187e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039484161,0.099999999995412092,0.099999999999714775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5879251259126547e-12,5.7046240779672157e-13
3.571984147076118e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575038968321,0.099999999990824165,0.099999999999429545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1758514113304425e-12,1.1409250573441831e-12
7.143969051154515e-17,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575037936643,0.09999999998164831,0.099999999998859085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.835170162683064e-11,2.2818503563105551e-12
1.0715953955232914e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575036904966,0.099999999972472456,0.099999999998288625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7527549486996079e-11,3.422775655148377e-12
1.4287938859311312e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575035873288,0.099999999963296601,0.099999999997718164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6703394991827354e-11,4.5637009538576486e-12
2.1431908667468107e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575033809933,0.099999999944944934,0.099999999996577243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5055080473666707e-11,6.8455515509744932e-12
2.8575878475624904e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575031746584,0.099999999926593267,0.099999999995436323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3406757294107327e-11,9.1274021476186129e-12
3.57198482837817e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575029683231,0.099999999908241585,0.099999999994295402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1758424834481926e-11,1.1409252743756243e-11
5.000778790009529e-16,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957502555653,0.099999999871538278,0.099999999992013547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.284617314921406e-10,1.5972953934480213e-11
