Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CHOX(61),CO2X(24),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.764224075598745e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,9.4283907733661405e-123,7.6144513398614791e-66,1.7736597834723785e-46,1.8855480921151229e-74,1.5992572347146479e-58,4.7726571127695698e-49,4.5356712874386294e-29,-4.0361346104285969e-114,4.5356712874092515e-29,3.3807183628500856e-74,2.2326219937502263e-77,4.4527377492213486e-75,5.7334125550676354e-106,4.772657112784866e-49,7.1233632441780049e-92,2.7573762207891456e-18,8.0428625217274258e-19,1.8227405886863837e-23,2.1763369427230739e-37,1.8227405886889601e-23,1.2991868784891706e-35,3.8064414290642618e-43,4.1541473807262527e-50,2.846684569369505e-78,1.3796517750937293e-62,2.9037751506037034e-68,4.7956879498363235e-111,2.7786486116982661e-92
2.4539827411676487e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.4338348637479552e-120,9.0398766548727546e-65,1.0715310356513794e-45,2.2385226949718998e-73,2.4167975330989353e-57,2.8826848961308554e-48,1.269987960492338e-28,-3.8034474773905914e-114,1.2699879604745942e-28,5.1089415946796187e-73,7.0196859171126515e-76,5.286290255906467e-74,1.8802611077278551e-104,2.8826848961490152e-48,2.0089024104679374e-90,7.7206534182096022e-18,2.25200150608368e-18,5.1036736483177357e-23,1.3145008040054044e-36,5.1036736483332993e-23,7.8470885240776048e-35,4.5190071443711101e-42,4.9631855337398527e-49,6.7897503454594576e-77,1.6382593582334818e-61,3.4473618585290334e-67,6.8508786019120429e-109,6.2157257984402923e-91
5.609103408383197e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,4.9818281202157091e-118,8.8754045540456833e-64,5.1614105466428206e-45,2.1977948562091462e-72,2.5998805013209122e-56,1.3878886884204438e-47,2.9028296240273765e-28,7.6394873616763831e-114,2.9028296239419475e-28,5.4959662332281624e-72,1.5660369168427645e-74,5.1901111205881386e-73,6.1149259502231843e-103,1.3878886884382734e-47,4.3698015420890041e-89,1.7647207813050497e-17,5.1474320139055538e-18,1.1665539767563884e-22,6.3286871894701513e-36,1.1665539767638815e-22,3.778035109651047e-34,4.4367877570539795e-41,4.9393576478955357e-48,1.5143290749312191e-75,1.6091660986024597e-60,3.384640314713861e-66,7.0044278824318849e-107,1.2281226738405389e-89
1.1919344742814295e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,9.3308734928963517e-116,7.850194903005404e-63,2.2562760841044578e-44,1.9439246611304999e-71,2.3897381006652297e-55,6.0612745334968995e-47,6.1685129512498053e-28,4.5465570130556151e-112,6.1685129508767138e-28,5.0517398408822983e-71,2.9329521524220117e-73,4.590594510138284e-72,1.9400964019897468e-101,6.0612745336545965e-47,8.1008756072962243e-88,3.7500316602732194e-17,1.0938293029549301e-17,2.4789272005989956e-22,2.7638439247350448e-35,2.478927200631719e-22,1.6499669915859753e-33,3.9242880731151917e-40,4.4870550287277322e-47,3.3324270370464844e-74,1.4245581718728677e-59,2.9936760275237797e-65,6.5565926404811277e-105,2.1853786797808712e-88
2.4539827411676486e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.8282372464004994e-113,6.5985619697014481e-62,9.4374975962655441e-44,1.633985808008973e-70,2.0444712577260351e-54,2.530462801442016e-46,1.269987960630407e-27,1.6201846747305025e-110,1.2699879604746479e-27,4.321869793424498e-70,5.0657322724369359e-72,3.8586712900359814e-71,6.1450604307740793e-100,2.5304628015745638e-46,1.3923335392936499e-86,7.7206534182095217e-17,2.2520015060836794e-17,5.103673648257718e-22,1.1538002575602532e-34,5.1036736483943321e-22,6.8882857328928316e-33,3.2985998195174122e-39,3.9705675155738598e-46,7.9349383462668661e-73,1.199561752764157e-58,2.5163650819491564e-64,6.4248233990158701e-103,3.6859605651954765e-87
4.978079274940088e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.0510527513635553e-111,5.4099000071435981e-61,3.8702265905083324e-43,1.3396402868034545e-69,1.6904083720430782e-53,1.0337766214673527e-45,2.5762612918850222e-27,5.4444517736080493e-109,2.5762612912486954e-27,3.5734055257348464e-69,8.4160814649868896e-71,3.1635718549923354e-70,1.9529799583744613e-98,1.0337766215760145e-45,2.3076907348172405e-85,1.566189693408198e-16,4.5683459123411775e-17,1.03531665434692e-21,4.7132405448861601e-34,1.0353166544027312e-21,2.81408812427848e-32,2.704390175384875e-38,3.5815344737033392e-45,2.1711218816021756e-71,9.8697403867112116e-58,2.0630681237738788e-63,7.1223670110611282e-101,6.0542012968499397e-86
1.0026272342484966e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.0543376777102173e-108,4.3810776691431334e-60,1.5762925810155992e-42,1.0848754369894219e-68,1.3746120144845819e-52,4.178690391523369e-45,5.1888079553693025e-27,1.7847795813730907e-107,5.188807952797171e-27,2.9058340341132051e-68,1.3718027416300761e-69,2.5619425098319653e-69,6.2252224249892048e-97,4.1786903924031982e-45,3.757476139628199e-84,3.1544383965826304e-16,9.2010347248561632e-17,2.0852152333468304e-21,1.9048358108661853e-33,2.0852152335724286e-21,1.1374983162794674e-31,2.1900832560129479e-37,3.4287996981244844e-44,7.030638698054572e-70,8.0494743533997775e-57,1.6707260507782321e-62,9.2746748598750333e-99,9.8141211963137593e-85
2.012265847757472e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,3.2574242006038457e-106,3.5262730682577813e-59,6.4337827905485142e-42,8.7320213406769125e-68,1.1086743883104892e-51,1.6802330286002046e-44,1.0413901286238061e-26,5.7803082145234442e-106,1.0413901275895633e-26,2.3436604296164878e-67,2.214719481190116e-68,2.0620742167108577e-68,1.9879500319286081e-95,1.6802330293081375e-44,6.0645816634950155e-83,6.3309358029312557e-16,1.8466412349886105e-16,4.1850123911771068e-21,7.6565973974748819e-33,4.1850123920842311e-21,4.5738218791186712e-31,1.7627662790816108e-36,3.6103713949267836e-43,2.7126210844677958e-68,6.5701960358062511e-56,1.3447456682924022e-61,1.4335974216055535e-96,1.5805339636997809e-83
4.0315430747754224e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998743,0.099999999999999825,1.1816009531467547e-103,2.8296130463397459e-58,2.6568978406545772e-41,7.0068972080740859e-67,8.9054756081169698e-51,6.7384859530248229e-44,2.0864087963576374e-26,1.8608166557149843e-104,2.0864087922098609e-26,1.8825555269266034e-66,3.5577020796254952e-67,1.6546846953557396e-67,6.3546589757415174e-94,6.7384859587018528e-44,9.7456200059915838e-82,1.2683930615627561e-15,3.6997167599945863e-16,8.384606706159484e-21,3.0685036187598523e-32,8.3846067097974844e-21,1.8343000669821961e-30,1.4145036946883423e-35,4.2621560168663129e-42,1.2313782841822053e-66,5.4186589240458946e-55,1.0790736980366678e-60,2.6013739593802404e-94,2.5371070481474207e-82
