Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.8693002392829711e-66,7.6174078028731722e-42,2.0222808031179372e-93,3.6166880408169061e-57,9.1986053966199818e-143,7.1237143035501673e-25,-7.1281820653002757e-118,7.1237143035489762e-25,1.1403508667417207e-79,1.4063258562340071e-70,4.2447634399224768e-121,2.5648824378354848e-122,1.3589901289942287e-53,7.1578130352077283e-95,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890947671e-23,6.0742375806955474e-38,2.1531673116326008e-54,5.2358675890953983e-23,3.1306560357877523e-36,2.7034765713156645e-45,1.2818082784464754e-52,3.8772603177430326e-83,3.7573698611006107e-111
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.7604044463912341e-64,4.6009143130091696e-41,2.2601764216814627e-91,5.4655389672937821e-56,3.3567043013474596e-140,1.9946400049944317e-24,1.375871033373847e-116,1.9946400049937132e-24,3.2159719003567248e-78,4.4217135370198751e-69,8.5818382125654691e-119,5.1855436533244162e-120,1.6133930811399614e-52,3.705090172046158e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249464315e-22,3.6688394987351773e-37,2.5562402323588164e-53,1.466042924946813e-22,1.8909162440390237e-35,3.2095673812334054e-44,1.5395790214499441e-51,2.3858878237332222e-81,7.5964516536790352e-109
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.4783274835974831e-63,2.215142189186179e-40,2.0948061503685731e-89,5.8795774142065839e-55,1.2449448367874706e-137,4.5591771542748042e-24,1.4527866212975659e-114,4.5591771542713431e-24,6.9954413394093959e-77,9.8645996652432851e-68,1.5914996787795887e-116,9.6165773044747262e-118,1.5840388943495141e-51,1.6177873715191664e-91,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552570199278e-22,1.7663882884588652e-36,2.5097318184035959e-52,3.3509552570217648e-22,9.103947728419102e-35,3.1511722784046302e-43,1.5493060523668582e-50,1.1036048208938393e-79,1.4087599960745057e-106
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.1895509853090526e-62,9.6741079107924224e-40,1.6612988213678075e-87,5.4043446056394459e-54,3.9546393612754673e-135,9.6882514528417132e-24,1.1483068364493709e-112,9.6882514528265978e-24,1.2968369284672735e-75,1.8475303436689474e-66,2.5266003338473007e-114,1.5266888050260057e-115,1.4010644633749553e-50,6.0226167565098925e-90,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799211652658e-22,7.7142817274068735e-36,2.2198293715264818e-51,7.1207799211732921e-22,3.9759331410103748e-34,2.7871761784096894e-42,1.4374767404246336e-49,4.3680512854834309e-78,2.2364902260571457e-104
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.0439625615282689e-60,4.0387496181125028e-39,1.259675944280939e-85,4.6235305911252681e-53,1.1999700799075087e-132,1.9946400050000199e-23,8.1387921991766234e-111,1.9946400049937095e-23,2.2289313367657443e-74,3.191149220304576e-65,3.8327085682458263e-112,2.3158998222554324e-113,1.1776791019208669e-49,2.074882788501188e-88,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429249449327e-21,3.2205607652159532e-35,1.865900341449088e-50,1.4660429249482833e-21,1.6598738081786021e-33,2.3427894910863503e-41,1.3212220723373325e-48,1.6550614892988536e-76,3.3926280849553632e-102
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.7147151353073245e-59,1.6499610006048837e-38,9.8025003918470013e-84,3.8228245030490924e-52,3.7342220185217984e-130,4.0462697244415815e-23,5.4770340427779222e-109,4.0462697244158011e-23,3.6942902285916496e-73,5.3021421570869667e-64,5.9640506662423225e-110,3.6037553160978832e-111,9.6553248010845474e-49,6.8857794813878489e-87,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727905990978e-21,1.3157041568707042e-34,1.5297778327516654e-49,2.9739727906127858e-21,6.7811260135243541e-33,1.9207603261729566e-40,1.2684232677648129e-47,6.4418526450235565e-75,5.2792445419333431e-100
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.7796299375201163e-58,6.669406174157495e-38,8.2388352385397454e-82,3.1086573980032694e-51,1.2545226991272053e-127,8.1495291633641654e-23,3.5936823680774768e-107,8.1495291632599555e-23,6.0151939549963173e-72,8.6438299072353103e-63,1.0020580735747402e-107,6.0548984436400588e-109,7.8191323547839749e-48,2.2436309926697629e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325218968409e-21,5.3182865648234677e-34,1.2388537509389099e-48,5.9898325219521715e-21,2.7410394776299487e-32,1.555481439944848e-39,1.3271778162935401e-46,2.7097464060948744e-73,8.8699944237882535e-98
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.476510578143595e-57,2.681738892446346e-37,7.7018196240732331e-80,2.5072448103158934e-50,4.6867674396921713e-125,1.6356048041367176e-22,2.3286526928956029e-105,1.6356048040948157e-22,9.7085472947180867e-71,1.395980838773301e-61,1.8723557946210383e-105,1.1313639883502551e-106,6.293517967732452e-47,7.2445485179371801e-84,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551984449979e-20,2.1384596368453766e-33,9.9713727628692594e-48,1.2021551984672465e-20,1.1021598557675383e-31,1.2519866719743301e-38,1.5511239274589214e-45,1.2681002203648417e-71,1.6573675611666393e-95
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,7.185792679137088e-56,1.0754972419259315e-36,8.0101471022933919e-78,2.0139553814325006e-49,1.9481665904966118e-122,3.2769085798004563e-22,1.499587147153916e-103,3.2769085796324109e-22,1.5601374869365698e-69,2.2439984267252373e-60,3.8925039748239327e-103,2.3520309731031793e-104,5.0501518163237092e-46,2.3286953863095936e-82,1.299575183379584e-15,6.248472969405931e-17,2.4084990909386861e-20,8.5761795916266121e-33,8.0013986621184607e-47,2.4084990910279118e-20,4.420153472098414e-31,1.0046402727812717e-37,2.0196669349771809e-44,6.6015442329200171e-70,3.4455576426464564e-93
