Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),H2OX(23),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-1.633920793317934e-121,1.311112944229571e-65,2.9700072473883544e-36,7.1872797131963055e-89,1.8120787904700322e-54,2.4442807692791004e-132,5.5646920903778486e-20,-6.5985143325437161e-106,5.5646920903778486e-20,2.6157602372111543e-72,5.7160404398511967e-73,1.612529128090359e-112,1.8697238454811317e-113,5.3346342383173279e-54,1.2279206030110473e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.602213534546048e-22,9.0087835654169666e-38,3.3357983340900261e-37,3.6022135345267224e-22,9.6298941096238197e-34,5.6171078111425232e-42,1.6498521474539585e-46,2.0826532301611928e-77,2.145630712633096e-52,2.0384631116243115e-98,2.8398155585065277e-106,-5.327236525651144e-109,3.3174158799093106e-54,-6.6923209503890197e-109
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,2.9601344833451442e-119,2.9329134275464557e-64,1.7938843775187835e-35,7.9422676469426557e-87,2.7384134910776759e-53,8.8198103980154755e-130,1.5581137853057977e-19,1.2738527485793328e-104,1.558113785305797e-19,7.3768624501250617e-71,1.7972145819042295e-71,3.2235763969493691e-110,3.7377294785595236e-111,6.3332777655011609e-53,6.3560707326377618e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896760319e-21,5.4413052714204448e-37,2.0148221937883227e-36,1.0086197896643591e-21,5.8164560094378257e-33,6.6686303558519529e-41,1.9587357070143617e-45,1.2669994699498816e-75,2.5472927821631224e-51,1.9196856319180639e-96,5.6770214234283137e-104,5.3913871937166782e-107,3.938436131228292e-53,6.7729099924979081e-107
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,1.2496407116909975e-116,5.7949481870572863e-63,8.6367810768485913e-35,7.1858084763933795e-85,2.9458602743313608e-52,3.1935499761082468e-127,3.5614029378418238e-19,1.3450539900767033e-102,3.5614029378418209e-19,1.604628715011673e-69,4.0094868652244167e-70,5.8361523196194219e-108,6.7670053010168097e-109,6.2180496612722396e-52,2.7753092356261287e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.30541666213144e-21,2.6197542576861458e-36,9.7005015555029895e-36,2.3054166620752408e-21,2.800373157916164e-32,6.5473007483047244e-40,1.9231644994979562e-44,5.7200351529882823e-74,2.5009471590329803e-50,1.6778151538442348e-94,1.0278013507024609e-101,1.1290772899659463e-104,3.8667799452821592e-52,1.4183991216795236e-104
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,4.0197399795603276e-114,1.0311805152210599e-61,3.771909205674575e-34,5.4386957328013421e-83,2.7077531192751608e-51,9.6840335583745948e-125,7.5679812429138772e-19,1.0631530799432572e-100,7.5679812429138618e-19,2.9747112059328235e-68,7.5093251481530271e-69,8.8439383468738713e-106,1.0254526338164087e-106,5.4997944998237111e-51,1.0331780432292682e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104070924695e-21,1.1441155095662757e-35,4.2364638842624983e-35,4.8990104068470353e-21,1.2229965011210348e-31,5.791013224613196e-39,1.7011349264281275e-43,2.1599235442215547e-72,2.2120594403106874e-49,1.2517021629622922e-92,1.5575007780099963e-99,1.814613861341247e-102,3.4201230664370211e-51,2.2796018753418547e-102
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,1.1500173298485381e-111,1.7392370197909935e-60,1.574697843907534e-33,3.7789050858179611e-81,2.3165398015504735e-50,2.6938673376367335e-122,1.5581137853057988e-18,7.535252521720702e-99,1.5581137853057924e-18,5.1127685210452633e-67,1.2970491714777471e-67,1.229719772260675e-103,1.4258572706614553e-104,4.6229086504492073e-50,3.5594550110798869e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197897215386e-20,4.7764570172089595e-35,1.7686402767058793e-34,1.0086197896190744e-20,5.105769399711854e-31,4.8676953120681182e-38,1.4301044201046735e-42,7.4947994742744803e-71,1.8593692469541212e-48,8.6341711374215014e-91,2.1656522545574561e-97,2.5947301096627327e-100,2.8748195063394168e-50,3.2596199953596096e-100
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,3.1105392320968253e-109,2.8567023061705233e-59,6.4331545094972688e-33,2.5193053166633814e-79,1.9153599054089591e-49,7.1870660870937357e-120,3.1607451073346227e-18,5.0708795078926582e-97,3.1607451073345965e-18,8.474038870927643e-66,2.1550665836674637e-66,1.6401544259583196e-101,1.9017553153166433e-102,3.7901397928415562e-49,1.1812533419255286e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572878264644e-20,1.9513385307019768e-34,7.2254726233297661e-34,2.0460572874078659e-20,2.0858731966159369e-30,3.9908303203932319e-37,1.1728107314555054e-41,2.496761481988131e-69,1.5244232483117393e-47,5.7339960535268866e-89,2.8884663078845103e-95,3.5083712312053843e-98,2.3569507060218825e-49,4.4073782404788578e-98
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,8.1868356306610345e-107,4.6308377245492608e-58,2.600383914784346e-32,1.6460924148812433e-77,1.5575388655837974e-48,1.8788229979905436e-117,6.366007751392279e-18,3.3271895218781625e-95,6.3660077513921703e-18,1.3797775550057662e-64,3.5133023972529013e-65,2.1436573541972553e-99,2.4855658119711006e-100,3.0693534327200026e-48,3.8489420337863402e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322843576851e-20,7.8876222299431046e-34,2.9206515596163013e-33,4.1209322826656443e-20,8.4314313436425019e-30,3.2318772307086153e-36,9.5029849077778368e-41,8.1542868533143269e-68,1.2345174719310756e-46,3.7377518447982935e-87,3.7751823517073115e-93,4.61648413434569e-96,1.9087197662373454e-48,5.7994409405109864e-96
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,2.1267106890081073e-104,7.4578214072946739e-57,1.0456029390542971e-31,1.0652955867718973e-75,1.2562115208095478e-47,4.8641896293728374e-115,1.277653303950762e-17,2.155969294523842e-93,1.2776533039507187e-17,2.2269665366103753e-63,5.6739926112154721e-64,2.7748132440463288e-97,3.2173896263516267e-98,2.4704826099466077e-47,1.2428000592518002e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822787056096e-20,3.1715781245291616e-33,1.17438114654787e-32,8.2706822719019864e-20,3.390240158089539e-29,2.6012949448419662e-35,7.6572956951604117e-40,2.6381954681260778e-66,9.9364706539390829e-46,2.4141429088612127e-85,4.8867072746948308e-91,5.9958651409653046e-94,1.5363036847874003e-47,7.5322831982405521e-94
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,5.4931708241012601e-102,1.197145459769099e-55,4.1933354736199056e-31,6.8670011580237024e-74,1.0090574092206994e-46,1.2542607383473284e-112,2.5597583615738416e-17,1.3883838725926043e-91,2.5597583615736684e-17,3.5786754397610281e-62,9.1207769415063972e-63,3.5774560295699359e-95,4.1480521049230827e-96,1.9824066119550813e-46,3.9948697380897765e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182272543381e-19,1.2719446135745701e-32,4.7097936518078984e-32,1.6570182245257805e-19,1.3596368909430443e-28,2.08737373660808e-34,6.1580855456140749e-39,8.5025057672988164e-65,7.9733919771441773e-45,1.5521214226364963e-83,6.300236759636605e-89,7.7433153506992614e-92,1.2327868931148804e-46,9.7275110605508379e-92
