Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.155958992499021e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,4.7154925537023324e-140,4.1447823168454616e-66,1.1821649055340512e-46,1.0263623803752142e-74,5.4184274388757513e-73,3.1817714087487021e-49,3.7033600985308428e-29,-1.7920934720324189e-114,3.7033600985308428e-29,1.8402299897511693e-74,2.9257785316900302e-93,2.4237634322815155e-75,1.8575522771409037e-106,3.1817714087487021e-49,3.1659392200832412e-92,2.2513882566964193e-18,6.5669697501266593e-19
2.003668517899726e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,3.6386853085031255e-138,4.9206855665589351e-65,7.1402760294256733e-46,1.2184974179814551e-73,8.1883275456279651e-72,1.9217899308842166e-48,1.0369408275886362e-28,-1.7076542505176623e-114,1.0369408275886362e-28,2.7809555605119599e-73,9.1991158281985157e-92,2.877491946804617e-74,4.1552701418738823e-105,1.9217899308842166e-48,8.9284551509098212e-91,6.303887118749974e-18,1.8387515300354645e-18
4.579813755199374e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,3.9656172428293162e-136,4.8311582685150742e-64,3.4377355452930225e-45,1.1963279905653506e-72,8.8086291188300654e-71,9.2525912566412296e-48,2.37015046305974e-28,2.4448422671290069e-114,2.37015046305974e-28,2.9916250897385916e-72,2.0522721370056057e-90,2.8251386566673366e-73,8.2101135774394705e-104,9.2525912566412296e-48,1.9421340171787918e-89,1.4408884842857068e-17,4.2028606400810618e-18
9.732104229798669e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,3.2441211305439558e-134,4.2731047773749981e-63,1.5013494300282454e-44,1.0581385596716317e-71,8.0966477533618638e-70,4.0408496891108535e-47,5.036569734001948e-28,1.6466138002150505e-112,5.036569734001948e-28,2.7498188690852819e-71,3.8436785832537726e-89,2.4988031481449534e-72,1.4609458446379082e-102,4.040849689110853e-47,3.6003891553236273e-88,3.0618880291071188e-17,8.9310788601722564e-18
2.003668517899726e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.09999999999999995,0.10000000000000001,2.334817538776652e-132,3.5918020392612073e-62,6.2678383291415377e-44,8.8942921703507525e-71,6.9268526167283045e-69,1.6869752009185624e-46,1.0369408275886361e-27,5.8791181038861134e-111,1.036940827588636e-27,2.3525279361379374e-70,6.638998897213652e-88,2.1003946102002464e-71,2.4640987033192642e-101,1.686975200918562e-46,6.1881490545967247e-87,6.3038871187499207e-17,1.8387515300354644e-17
4.064584707739444e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999881,0.099999999999999992,1.5826153534459294e-130,2.9447763193251405e-61,2.560616471982973e-43,7.2920780917523134e-70,5.7272556957067255e-68,6.8918441422060401e-46,2.1035085359655181e-27,1.9757195018931277e-109,2.1035085359655174e-27,1.9451155910285577e-69,1.1030795962347569e-86,1.7220304019394329e-70,4.04728951943909e-100,6.8918441422060354e-46,1.025640324061559e-85,1.2787885298035425e-16,3.730038818071941e-17
8.186417087418881e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999756,0.099999999999999978,1.0420650142170069e-128,2.3847562118713663e-60,1.0350421187105242e-42,5.9053138985927155e-69,4.6573092158931896e-67,2.7857935933871064e-45,4.2366439527192795e-27,6.4767393113714796e-108,4.2366439527192773e-27,1.5817356949621881e-68,1.7982981447775948e-85,1.3945448661436993e-69,6.560830720594958e-99,2.7857935933871039e-45,1.6699893878326051e-84,2.5755881656606038e-16,7.5126133941448869e-17
1.6430081846777753e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999938,0.099999999999999492,0.099999999999999936,6.7641330635349325e-127,1.9194592684155899e-59,4.1618588365288187e-42,4.7531103762855563e-68,3.7562886052309492e-66,1.1201553515356129e-44,8.5029147862267951e-27,2.0976008185088863e-106,8.5029147862267836e-27,1.275727140297696e-67,2.9042563073138252e-84,1.1224510309338474e-68,1.0566015616501782e-97,1.120155351535611e-44,2.695369604852202e-83,5.1691874373745657e-16,1.5077762546290756e-16
3.2917411365495497e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999871,0.099999999999998979,0.099999999999999867,4.3596614615955984e-125,1.540245179581165e-58,1.6690915371340692e-41,3.8140717365334597e-67,3.0172552834589257e-65,4.4923239613838159e-44,1.7035456453241786e-26,6.7526684829892389e-105,1.7035456453241752e-26,1.0247334161051526e-66,4.6685071919419246e-83,9.0069626282763049e-68,1.6960795084367978e-96,4.4923239613837999e-44,4.3313865958489215e-82,1.035638598080186e-15,3.0208060850582394e-16
